headline,lead,category,content,date,url
AP: в США хотят провести военный парад в день рождения Трампа,"Американские власти собираются провести военный парад в день рождения президента Дональда Трампа. Об этом пишет Associated Press со ссылкой на документы, которые не были обнародованы",news,"Мероприятие запланировано на 14 июня. В этот же день исполнится 250 лет вооруженным силам США и официально парад будет приурочен к этой дате.
Мероприятие может пройти на Национальной алее в Вашингтоне. К участию планируется привлечь более 6,6 тыс. военных, не менее 150 транспортных средств, 50 вертолетов и семь оркестров. По оценке AP, все это, вероятно, обойдется бюджету в десятки млн долларов.
Издание отмечает, что Трамп еще во время своего первого срока хотел провести подобный парад. Но тогда ему помешали это сделать высокие расходы на мероприятие. Кроме того, местные власти выражали беспокойство, что тяжелая техника повредит дороги.
Журналисты подчеркивают, что окончательно планы по параду пока не согласованы.","May 2, 2025, 12:38 PM",https://tvrain.tv/news/ap-v-ssha-hotjat-provesti-voennyj-parad-v-den-rozhdenija-trampa-562132/
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали","Болезнь Вучича описывают как «внезапную», сообщила сербская государственная телерадиокомпания РТС. О диагнозе пока ничего неизвестно.",news,"По данным канала, после консультаций с врачами Вучич вернулся в Сербию, отказавшись от участия в нескольких встречах, для которых приезжал в США. После возвращения в Белград его госпитализировали в Военно-медицинскую академию.","May 3, 2025, 5:23 PM",https://tvrain.tv/news/prezident-serbii-aleksandr-vuchich-dosrochno-prerval-vizit-v-ssha-iz-za-bolezni-ego-gospitalizirovali-562144/
Силовики сорвали концерт в баре Екатеринбурга,"Полицейские прервали концерт в баре Syndrome в Екатеринбурге вечером 3 мая, пишет издание E1.RU со ссылкой на одного из посетителей.",news,"По его словам, посетителей поставили к стене и проверили документы. Силовики спрашивали про отношение к «СВО» и «леворадикальным движениям», а также проверяли переписку в мессенджерах, пишет канал «Свет Екатеринбург».
Неизвестно, задержали ли кого-то силовики, но очевидцы сообщают, что несколько человек садились в полицейскую машину. Официальных комментариев от МВД и Росгвардии не поступало.","May 4, 2025, 5:01 PM",https://tvrain.tv/news/siloviki-sorvali-kontsert-v-bare-ekaterinburga-562158/
"Сергей Лавров написал предисловие к книге, в которой отрицается государственность Литвы","Глава МИД России Сергей Лавров стал автором предисловия к монографии «История Литвы», сообщает телеканал LRT.",news,"В предисловии Лавров заявил, что страны Балтии используют «сфальсифицированные исторические нарративы для стимулирования антироссийских и русофобских настроений». По его словам, «на фоне попыток подвергнуть историю ревизии в угоду политической конъюнктуре» книга приобретает особое значение.
Глава МИД Литвы Кястутис Будрис назвал монографию «инструментом российской пропаганды» и сравнил идеи книги с риторикой, сопровождавшей вторжение России в Украину. По его словам, в ней ставится под сомнение государственность и история Литвы, а также оправдывается империализм и агрессия России против ее соседей.
Как утверждает профессор Гинтаутас Мажейкис из Университета Витаутаса Великого, в книге говорится, что литовской нации и языка не существует. Там также утверждается, что литовское национальное государство было создано славянами и Россией, отметил он в разговоре с LRT.
🔵Монографию «История Литвы» в 2025 году выпустило издательство «Международные отношения» при МГИМО, обращает внимание «Агентство». Руководителем коллектива из девяти авторов стал Максим Григорьев — директор прокремлевского Фонда исследования проблем демократии, участник войны в Украине и председатель «Международного общественного трибунала по преступлениям украинских неонацистов».","May 2, 2025, 10:12 PM",https://tvrain.tv/news/sergej-lavrov-napisal-predislovie-k-knige-v-kotoroj-otritsaetsja-gosudarstvennost-litvy-562138/
На Москву и Подмосковье обрушился сильный снегопад,В Москве и Подмосковье прошел сильный снегопад.,news,"Метеоролог Евгений Тишковец сообщил, что в Москве в полночь начался «ливневый снег». По его словам, за ночь в столице выпало 14 мм осадков или 22% от всей нормы мая. Снег повалил деревья и привел к пробкам, сообщают очевидцы.
Вот это доброе утро нам 2 мая. Проснулась от треска. Точнее, даже от выстрелов, потом треск. Не пойму, что происходит: смотрю, деревья валятся одно за другим, — рассказывает жительница.
Из-за мокрого снега ночью в Московской области более 26 тыс. человек остались без света, сообщил губернатор Андрей Воробьев.","May 2, 2025, 12:36 PM",https://tvrain.tv/news/na-moskvu-i-podmoskove-obrushilsja-silnyj-snegopad-562130/
"Коммунальные услуги в РФ подорожают на 40% за ближайшие четыре года. Эксперт Дождя — о том, на кого это повлияет в первую очередь","В 2025 году услуги ЖКХ станут дороже на 12% — а за ближайшие четыре года подорожают на 40%. За газ к 2028 году россияне будут платить на 80% больше, чем до начала полномасштабной войны. Об этом говорится в докладе Минэкономразвития. Скачок цен на газ объясняется подключением к единой системе газоснабжения оккупированных территорий Украины.",news,"До начала полномасштабной войны коммунальные тарифы индексировались по формуле «инфляция-минус» — то есть индексация была ниже уровня инфляции, но теперь в России делают это по формуле «инфляция-плюс», рассказал в эфире Дождя редактор отдела экономики издания The Bell Денис Касянчук.
От индексации тарифов в первую очередь проигрывают менее состоятельные хозяйства — потому что в структуре их расходов траты на коммунальные услуги гораздо больше, чем у тех, у кого доход больше, говорит эксперт. При этом, по мнению Касянчука, индексация вряд ли вызовет ощутимый социальный отклик у россиян:
«У нас уже индексировали несколько раз те же самые тарифы на жилищно-коммунальные услуги, но, честно говоря, никакого отклика, по-моему, не было. Может быть, государство будет снова щедро раздавать социальные выплаты для неимущих слоев населения, как, в принципе, оно это уже делало после 2022 года, да и до 2022 года тоже».
Эксперт обращает внимание на возможное замедление снижения ключевой ставки ЦБ. Это означает, что в РФ останутся дорогие кредиты — но и высокие проценты по депозитам.
«Если говорить простыми словами, то если вы хотели купить машину в кредит, то ставка по этому кредиту все еще будет оставаться повышенной. Но если у вас цель экономить и как-то копить деньги, то более высокие депозиты, возможно, останутся с нами тоже на гораздо более долгий срок».","May 2, 2025, 5:04 PM",https://tvrain.tv/news/kommunalnye-uslugi-v-rf-podorozhajut-na-40-za-blizhajshie-chetyre-goda-ekspert-dozhdja-o-tom-na-kogo-eto-povlijaet-v-pervuju-ochered-562135/
Зеленский назвал предложение Путина о трехдневном перемирии на 9 мая «театральной постановкой»,Президент Украины Владимир Зеленский вновь  призвал российские власти согласиться на предложение установить прекращение огня на 30 дней.,news,"Играть для того, чтобы дать мягкую атмосферу выхода из изоляции Путину на 9 мая, и чтобы всем было комфортно, безопасно — тем лидерам, или друзьям, или партнерам Путина, которые приедут, по тем или иным причинам на Кремлевскую площадь на 9 мая, — помогать Путину никто не будет. Мы просто либо находимся в состоянии войны, либо Путин показывает, что он готов к прекращению огня, к первой части окончания войны, — сказал он.
По его словам, «за три, пять, семь дней невозможно ни о чем договориться». Зеленский добавил, что предложение Путина о перемирии на 9 мая — это «больше театральная постановка с его стороны».
🔵28 апреля Путин объявил перемирие на трое суток в дни 80-летия Победы. По сообщению Кремля, с нуля часов с 7 на 8 мая до нуля часов с 10 на 11 мая российская сторона объявляет перемирие. Зеленский назвал предложение «манипуляцией» и предложил 30-дневное прекращение огня.","May 3, 2025, 5:24 PM",https://tvrain.tv/news/zelenskij-nazval-predlozhenie-putina-o-trehdnevnom-peremirii-na-9-maja-teatralnoj-postanovkoj-562145/
В Московской области тысячи людей остаются без электричества после снегопада,"После майского снегопада почти 26 тысяч жителей Подмосковья третий день остаются без электричества из-за мокрого снега и ветра, которые оборвали провода и стали причиной падения деревьев, сообщил губернатор Московской области Андрей Воробьев.",news,"По его словам, больше всего пострадали северные и северно-западные округа, в том числе Талдом, Дмитров и Сергиев Посад.
Гендиректор ПАО «Россети Московский регион» Александр Пятигор сравнил масштабы блэкаута с ЧП после ледяного дождя в 2011 году.  Электроснабжение планируют восстановить в течение дня.
🔵2 мая на Москву и Подмосковье обрушился сильный снегопад. Метеоролог Евгений Тишковец сообщил, что в Москве в полночь начался «ливневый снег». По его словам, за ночь в столице выпало 14 мм осадков или 22% от всей нормы мая.","May 4, 2025, 5:00 PM",https://tvrain.tv/news/v-moskovskoj-oblasti-tysjachi-ljudej-ostajutsja-bez-elektrichestva-posle-snegopada-562157/
Партию «Альтернатива для Германии (АДГ) признали в стране «правоэкстремистской»,Федеральное ведомство по защите конституции ФРГ объявило партию «Альтернатива для Германии» (АДГ) «безусловно правоэкстремистской».,news,"Среди основных нарушений выделяются подрыв принципов демократии и человеческого достоинства.
Ранее такой статус был лишь у нескольких региональных отделений АДГ, но в целом на федеральном уровне она характеризовалась только как «подозреваемая в экстремизме».
Как отмечает OstWest, признание партии «безусловно правоэкстремистской» не означает, что ее обязательно запретят в стране. Такой вариант возможен в случае подачи соответствующего заявления в суд. При этом, пишет Reuters, теперь немецкие власти смогут пристальнее следить за ее деятельностью.
Согласно последним опросам, АДГ сейчас самая популярная партия в стране. Ее рейтинг составляет 26%.","May 2, 2025, 12:37 PM",https://tvrain.tv/news/partiju-alternativa-dlja-germanii-adg-priznali-v-strane-pravoekstremistskoj-562131/
"Российские дроны атаковали Харьков, 51 человек ранен",Об этом сообщает прокуратура Харьковской области.,news,"По словам главы полиции региона Петра Токаря, госпитализированы 12 человек, в том числе ребенок.
Больше всего в результате атаки пострадал Слободской район. Повреждения получили многоквартирные и частные дома, детский сад и 15 автомобилей, добавил Токарь.","May 3, 2025, 5:27 PM",https://tvrain.tv/news/rossijskie-drony-atakovali-harkov-51-chelovek-ranen-562148/
Reuters: США разработали новые санкции против «Газпрома» и российских банков,"Власти США подготовили новые санкции в отношении России, направленные против энергетического и банковского секторов, пишет Reuters со ссылкой на источники.",news,"По данным источников, санкции коснутся в том числе «Газпрома» и других компаний, занимающихся природными ресурсами.
Санкции призваны оказать давление на российское правительство и поддержать усилия президента США Дональда Трампа, который стремится завершить войну. Пока неясно, одобрит ли Трамп предложенные меры.
🔵После встречи с украинским президентом Владимиром Зеленским на похоронах Папы Римского Трамп заявил, что Путин «водит его за нос», и пригрозил санкциями за обстрелы Украины.","May 3, 2025, 5:25 PM",https://tvrain.tv/news/reuters-ssha-razrabotali-novye-sanktsii-protiv-gazproma-i-rossijskih-bankov-562146/
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%","Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, пишет РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена выросла только на 32%.",news,"В апреле 2020 года средняя цена однокомнатной квартиры составляла 6,9 млн рублей, в апреле 2025 года — уже 12,9 млн рублей. Сообщается, что речь идет о жилье в комплексах эконом и комфорт-класса.
Еще сильнее за пять лет подорожали студии —  на 97%, до 9,6 млн рублей.
Наиболее сильный рост средней цены на однокомнатные квартиры был в 2021 и 2022 годах (25% и 22% соответственно). Издание пишет, что это время совпало с «бумом льготной ипотеки». За последний год однокомнатные квартиры подорожали на 8%.","May 2, 2025, 5:05 PM",https://tvrain.tv/news/tsena-na-odnushku-v-moskve-vyrosla-na-86-za-pjat-let-tsena-studii-na-97-562136/
"Путин заявил, что Россия не готовилась к войне, а «стремилась мирно решить проблему Донбасса»",Об этом он заявил пропагандисту Павлу Зарубину в документальном фильме «Россия. Кремль.Путин. 25 лет».,news,"Мы специально не готовились к этому, мы искренне пытались решить проблему Донбасса мирными средствами. Но оказалось, что другая сторона думала и действовала иначе, — сказал он.
Путин добавил, что именно по этим причинам не начал «спецоперацию» раньше.
По словам Путина, в ходе войны в Украине у России «не было необходимости» применять ядерное оружие. По его мнению, Россию «хотели спровоцировать, хотели добиться того, чтобы мы совершили ошибки». Он также утверждает, что у России достаточно сил и средств, чтобы довести войну в Украине до «логического завершения» и «с нужным для России результатом» без ядерного оружия.","May 4, 2025, 4:59 PM",https://tvrain.tv/news/putin-zajavil-chto-rossija-ne-gotovilas-k-vojne-a-stremilas-mirno-reshit-problemu-donbassa-562156/
Спецпредставитель Путина по Афганистану: Россия готова помочь талибам «в борьбе с терроризмом»,"По словам Замира Кабулова, Россия готова оказать содействие талибам в борьбе с терроризмом в Афганистане «по линии профильных структур», передает РИА Новости.",news,"По словам Кабулова, решение Верховного суда РФ о приостановке деятельности движения «Талибан» сняло препятствия «для налаживания полноценного партнерства с Кабулом, в том числе в деле противостояния террористической угрозе».
Мы видим и ценим те усилия, которые талибы предпринимают в борьбе против афганского «крыла» ИГИЛ — «Вилаят Хорасан», исповедующего ультрарадикальную идеологию «глобального джихада». Эта группировка – общий враг для России и Афганистана, и мы будем оказывать посильное содействие властям этой страны по линии профильных структур, — заявил Кабулов.
🔵В апреле Верховный суд исключил «Талибан» из списка террористических организаций. При этом движение внесено ООН в список террористических организаций, в его отношении действуют санкции Совбеза всемирной организации.
🔵Талибы удерживают власть в Афганистане с августа 2021 года. С этого момента в стране заметно ухудшилась ситуация с правами женщин. В частности, талибы запретили женщинам в Афганистане молиться вслух в присутствии других женщин и разговаривать в публичных местах.","May 2, 2025, 10:14 PM",https://tvrain.tv/news/spetspredstavitel-putina-po-afganistanu-rossija-gotova-pomoch-talibam-v-borbe-s-terrorizmom-562140/
При ударе российских военных по Запорожью пострадали 29 человек,"При ударе российских военных по Запорожью пострадали 29 человек. В числе раненых — 13-летний подросток, сообщил глава Запорожской обладминистрации Иван Федоров.",news,"По данным Нацполиции Украины, под удар попали жилые дома, университет, гаражный кооператив и один из объектов критической инфраструктуры. Пресс-служба Украинской железной дороги («Укрзализныця») также сообщала об атаке на локомотиворемонтный завод.
Всего, по данным Федорова, за сутки Россия нанесла по Запорожской области 589 ударов дронами и ракетами.","May 2, 2025, 12:34 PM",https://tvrain.tv/news/pri-udare-rossijskih-voennyh-po-zaporozhju-postradali-29-chelovek-562129/
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР","В «первом в истории» детском параде приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР, сообщил в своем телеграм-канале губернатор Приморского края Олег Кожемяко.",news,"Как отмечает издание vl.ru, первоклассники представляли разные виды войск, в том числе танкистов, ракетчиков, артиллеристов, моряков и пехотинцев.
В параде участвовала также делегация из КНДР. Как отметил на мероприятии Кожемяко, северокорейские военные «принимали активное участие в разгроме украинских боевиков на Курской земле».","May 4, 2025, 5:03 PM",https://tvrain.tv/news/vo-vladivostoke-proshel-detskij-parad-pravnuki-pobedy-na-kotoryj-priglasili-detej-iz-kndr-562159/
"Путин: реакция общества на «СВО» была «такой, на которую я надеялся»",Такое заявление он сделал в интервью пропагандисту Павлу Зарубину.,news,"По мнению Путина, с ходом войны каждый россиянин осознал, что именно он и есть государство, что «именно от него зависит и сегодняшний день, и завтрашний день, и его детей, и его семьи, и его родины и страны».
Он понимает, что глубинное государство — это он. И он — последний рубеж, последняя инстанция. Вот это как в войну, помните, в Великую Отечественную? Велика страна Россия, отступать некуда, за нами Москва, — добавил он.","May 4, 2025, 4:56 PM",https://tvrain.tv/news/putin-reaktsija-obschestva-na-svo-byla-takoj-na-kotoruju-ja-nadejalsja-562154/
Дональд Трамп опубликовал свое изображение в образе Папы Римского,Президент США выложил пост с ИИ-изображением в соцсети Truth Social.,news,"Ранее Трамп пошутил, что хотел бы стать новым Папой Римским. «Это был бы мой выбор номер один», — сказал он журналистам.","May 3, 2025, 5:25 PM",https://tvrain.tv/news/donald-tramp-opublikoval-svoe-izobrazhenie-v-obraze-papy-rimskogo-562147/
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,"Речь идет о посадочном модуле станции «Космос-482», которая была запущена в 1972 году к Венере, но осталась на орбите Земли. Пока неизвестно, в какой именно день он упадет на Землю — ориентировочно это должно произойти в первой половине мая.",news,"Станция была запущена в качестве дублера другой станции в рамках программы «Венера-8», но потерпела аварию и осталась на орбите Земли. На межпланетную траекторию станция не вышла из-за аварии разгонного блока, который прекратил работать раньше положенного.
В большинстве случаев падение космических аппаратов не становятся большой проблемой, когда они сгорают в атмосфере, либо когда такое падение контролируют с Земли. Однако «Космос-284» будет падать бесконтрольно, и, скорее всего, не полностью разрушится в атмосфере.
Как рассказал «Русской службе Би-би-си» аналитик ракетных пусков Георгий Тришкин, аппарат был рассчитан для более жесткого входа в атмосферу Венеры, поэтому его тепловой экран и герметичный отсек, скорее всего, переживут вход в атмосферу.
По его словам, расчеты на параметрах орбиты указывают, что область падения обломков почти полностью пролегает над сушей, скорее всего, над территорией Египта, Сирии, Турции и Азербайджана, поэтому есть риск падения модуля в жилые районы.","May 2, 2025, 10:13 PM",https://tvrain.tv/news/v-blizhajshie-dni-na-zemlju-upadet-sovetskaja-mezhplanetnaja-stantsija-kosmos-482-vesom-v-poltonny-562139/
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей","Американские ученые разработали противоядие, использовав уникальные антитела из крови мужчины, который сознательно вырабатывал иммунитет к змеиному яду, вводя себе небольшие дозы более 800 раз в течение 18 лет. Исследование опубликовано в научном журнале Cell.",news,"Согласно исследованию, испытания на мышах показали, что новый антидот оказался эффективным против нейротоксинов 19 видов змей, включая мамб и кобр.
Разработать лекарство ученым помог американец Тим Фриде, герпетолог, который практиковал митридатизм — сознательное введение яда для выработки устойчивости. После сотен инъекций и укусов в крови Фриде выработались антитела. Ученые взяли у него образец крови и получили крупные партии антител для дальнейших испытаний.
Каждое из антител проходило испытания на мышах, которым вводили смертельную дозу змеиных ядов. Антитела обеспечили полную защиту от токсинов 13 видов змей, еще в шести случаях эффект оказался частичным.
При этом традиционные противоядия обычно действуют лишь против одного-двух видов. Теперь ученые планируют протестировать препарат на собаках, которые часто становятся жертвами укусов змей, а также разработать аналогичный препарат для семейства гадюковых.","May 3, 2025, 5:23 PM",https://tvrain.tv/news/uchenye-sozdali-lekarstvo-nejtralizujuschee-jad-19-samyh-smertonosnyh-zmej-562143/
"Сотрудников детсада в Челябинске, который собирал «подарки участникам СВО», проверяют из-за сообщений об истязании детей","СК начал проверку в детском саду №251, где недавно проводили акцию по сбору «подарков» для участников «СВО». Проверка проводится по двум статьям УК – «истязание» и «халатность», пишет телеграм-канал «Челябинск будущего».",news,"Как утверждает канал, поводом для проверки стали жалобы родителей: дети начали отказываться от посещения сада, у них появились синяки и нервные срывы. После этого родители установили камеру и выяснилось, что воспитатель и няня плохо обращались с детьми, в том числе били их, таскали за руки и запугивали.
Информационный центр СК РФ сообщил, что об итогах проверки будет доложено главе ведомства Александру Бастрыкину.
🔵В декабре 2024 года детский сад №251 собирал подарки для участников войны с Украиной.","May 2, 2025, 10:15 PM",https://tvrain.tv/news/sotrudnikov-detsada-v-cheljabinske-kotoryj-sobiral-podarki-uchastnikam-svo-proverjajut-iz-za-soobschenij-ob-istjazanii-detej-562141/
"Путин заявил, что постоянно думает о преемнике, но в конечном итоге «выбор будет за россиянами»",Об этом он сообщил пропагандисту Павлу Зарубину в документальном фильме «Россия. Кремль.Путин. 25 лет».,news,"Можно как угодно к этому относиться, но в конечном счете выбор за людьми, за российским народом, за гражданами, за избирателями. Шансы сделать что-то по-серьезному вряд ли будут у человека, за которым не стоит доверие народа, — сказал он.","May 4, 2025, 4:57 PM",https://tvrain.tv/news/putin-zajavil-chto-postojanno-dumaet-o-preemnike-no-v-konechnom-itoge-vybor-budet-za-rossijanami-562155/
Релиз GTA VI перенесли на май 2026 года,Релиз Grand Theft Auto VI перенесли на май 2026 года. Об этом объявила компания-разработчик Rockstar. Изначально игру планировалось выпустить уже этой осенью.,news,"«С каждой выпущенной нами игрой мы всегда пытались превзойти ваши ожидания, и Grand Theft Auto VI не станет исключением. Мы надеемся, вы понимаете, что нам нужно дополнительное время, чтобы выпустить игру на том уровне, которого вы ожидаете и заслуживаете», — говорится в заявлении.
Новая часть GTA выйдет на консолях PlayStation и Xbox. Версия для PC пока не анонсирована.
Подробностей о проекте немного. Известно, что одним из игровых персонажей впервые за всю историю серии станет женщина, ее зовут Люсия. По сюжету у нее есть напарник. В декабре 2023 года Rockstar показала трейлер игры.
Предыдущая часть серии, GTA V, вышла в 2013 году и вошла в тройку самых продаваемых игр в истории.","May 2, 2025, 2:56 PM",https://tvrain.tv/news/reliz-gta-vi-perenesli-na-maj-2026-goda-562134/
В Новороссийске украинские дроны попали в жилые дома,"По словам губернатора Краснодарского края Вениамина Кондратьева, три многоквартирных дома в Новороссийске получили повреждения в результате атаки.",news,"По последним данным, пострадали четыре человека, в том числе двое детей. В Новороссийске введен режим ЧС.","May 3, 2025, 5:27 PM",https://tvrain.tv/news/v-novorossijske-ukrainskie-drony-popali-v-zhilye-doma-562149/
